name	rank	relative_path	size_bytes	char_count	sha1	is_text
README.md	1	systems/CIEL_OMEGA_COMPLETE_SYSTEM/README.md	7470	7427	68853757515420cc03337614e9bbdfd2a4f5cc56	True
README.md	2	systems/CIEL_OMEGA_VOCABULARY_REFERENCE/vocabulary/README.md	6233	6049	d00ee2536ca8b80168d98f646da4db15bbdfba9a	True
README.md	3	systems/CIEL_OMEGA_MEMORY_REFERENCE_v3.1.7/TODO/vocabulary/README.md	6233	6049	d00ee2536ca8b80168d98f646da4db15bbdfba9a	True
README.md	4	systems/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/vocabulary/README.md	6233	6049	d00ee2536ca8b80168d98f646da4db15bbdfba9a	True
README.md	5	systems/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/TODO/vocabulary/README.md	6233	6049	d00ee2536ca8b80168d98f646da4db15bbdfba9a	True
README.md	6	systems/CIEL_OMEGA_MEMORY_REFERENCE_v3.1.7/README.md	4463	4314	c9882a01490151bf24f1705384190c67604c77e7	True
README.md	7	systems/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/README.md	4463	4314	c9882a01490151bf24f1705384190c67604c77e7	True
README.md	8	systems/CIEL_FOUNDATIONS/README.md	1603	1603	da1ba1b0079a5b244cee1fbdc3039dbb60a50f66	True
README.md	9	README.md	970	970	acf8f52bb8be827e0df2b7e5803b3f388a3ed092	True
README.md	10	systems/CIEL_OMEGA_MEMORY_REFERENCE_v3.1.7/TODO/experimental/README.md	536	536	3de2944ce82cbd607efdfaf09514150f02d1ac29	True
README.md	11	systems/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/TODO/experimental/README.md	536	536	3de2944ce82cbd607efdfaf09514150f02d1ac29	True
README.md	12	systems/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/ext/README.md	383	367	ac60d84a86ec6831760a3e21087efe98e4fbe628	True
README.md	13	systems/CIEL_FOUNDATIONS/LaTeX/README.md	361	361	9cb87b726c786b5a88686abd5044dec21c218f17	True
README.md	14	systems/CIEL_FOUNDATIONS/operational_modes/README.md	331	331	d55e942799f4dd6c87e9d20368a15738004e3617	True
README.md	15	systems/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/TODO/from_old_runtime/.pytest_cache/README.md	302	302	54be9e578952c88d983b7d92c5f96579869575a3	True
README.md	16	systems/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/TODO/from_old_runtime/ciel_omega/.pytest_cache/README.md	302	302	54be9e578952c88d983b7d92c5f96579869575a3	True
README.md	17	systems/CIEL_OMEGA_MEMORY_REFERENCE_v3.1.7/TODO/experimental/geometry_holonomy_monolith/README.md	262	261	37abf84ea7dacb7f6b903e60e2ed1f900a0db5f1	True
README.md	18	systems/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/TODO/experimental/geometry_holonomy_monolith/README.md	262	261	37abf84ea7dacb7f6b903e60e2ed1f900a0db5f1	True
README.md	19	systems/CIEL_FOUNDATIONS/Simulations/README.md	238	238	79271c26e1ab97c2ec17fca2c0cff336875fb38b	True
README.md	20	systems/CIEL_FOUNDATIONS/assumptions/README.md	217	217	ce57042ab94aae05564d6a9d2869bcb2ce52e295	True
README.md	21	systems/CIEL_FOUNDATIONS/artifacts/README.md	180	180	8e04e4f08f48ee49419acb8ddf64972615183190	True
README.md	22	systems/CIEL_FOUNDATIONS/decisions/README.md	174	174	6d922b8f877bce3d9d9f9c9dd5c530d7ce0c5826	True
README.md	23	systems/CIEL_FOUNDATIONS/bibliography/README.md	171	171	1a31e2244f493f57ac8a6274058c9ac547164df7	True
README.md	24	systems/CIEL_FOUNDATIONS/provenance/README.md	162	162	b13e9cdd67b5a9d4462f17c811f6e03f1bfbe82a	True
README.md	25	systems/CIEL_FOUNDATIONS/reverse_operational_modes/README.md	152	152	6326e76ff0b7cf964a7caa268c18ecffe0c7a2c9	True
README.md	26	systems/CIEL_FOUNDATIONS/sectors/cosmology/README.md	147	147	b7cf56a01515564395309397dfb9567254911048	True
