name	rank	relative_path	size_bytes	char_count	sha1	is_text
generate_import_dependency_graph.py	1	generate_import_dependency_graph.py	5037	5037	1b5d2175f53702e8d5314647154da0b4e83fac9c	True
generate_import_dependency_graph.py	2	import_dependency_files/generate_import_dependency_graph.py	5037	5037	1b5d2175f53702e8d5314647154da0b4e83fac9c	True
HOW_TO_RUN.md	1	HOW_TO_RUN.md	650	650	4475125253b25343e4a1c2781525bc02abb6ab06	True
HOW_TO_RUN.md	2	import_dependency_files/HOW_TO_RUN.md	650	650	4475125253b25343e4a1c2781525bc02abb6ab06	True
README.txt	1	holonomic_relations_research_grade/README.txt	668	668	b6b505eeaeb148ab96c70cf895d9430a5081a187	True
README.txt	2	holonomic_observed_end_to_end/README.txt	615	613	00b3bbb762ca14f6a6164fcfeeb62af1b0660839	True
README.txt	3	observed_datasets_bundle/README.txt	341	341	602ef9fbbf41b584c06ec797202e3d805fcb5c46	True
general_data.json	1	observed_datasets_bundle/general_data.json	3307122	3300276	60dfaffffed7ffa6e7d0a1dfc8724f41c14425ca	True
general_data.json	2	holonomic_observed_end_to_end/data/general_data.json	3307122	3300276	60dfaffffed7ffa6e7d0a1dfc8724f41c14425ca	True
qa_data.json	1	observed_datasets_bundle/qa_data.json	6164420	6143535	a7b0ca4648d6bcd7c01677a8740ad0a62ac725f3	True
qa_data.json	2	holonomic_observed_end_to_end/data/qa_data.json	6164420	6143535	a7b0ca4648d6bcd7c01677a8740ad0a62ac725f3	True
summarization_data.json	1	observed_datasets_bundle/summarization_data.json	46992527	46851400	b47a5d5c07f09642a1cd43b6396b64811a6b074c	True
summarization_data.json	2	holonomic_observed_end_to_end/data/summarization_data.json	46992527	46851400	b47a5d5c07f09642a1cd43b6396b64811a6b074c	True
summary.json	1	holonomic_observed_end_to_end/results/summary.json	2252	2252	520866522b9bab75a4c7f1573b50ea174fa5495a	True
summary.json	2	holonomic_relations_research_grade/results/summary.json	772	772	8d76c86864b746195bc00730445e270763ed494b	True
summary.md	1	holonomic_observed_end_to_end/results/summary.md	1061	1061	c819e699d37bdd1df1d3b01f613c6cc9612e1b63	True
summary.md	2	holonomic_relations_research_grade/results/summary.md	444	444	a7e22b1fac6d8e3f370296aca70032f193134a4f	True
results_snippet.tex	1	holonomic_observed_end_to_end/report/results_snippet.tex	908	908	1b3c7ed39d86fedc133dcb1f7fddc380809c5f78	True
results_snippet.tex	2	holonomic_relations_research_grade/latex/results_snippet.tex	483	483	3091449a90120c8d210b381a574cc175eba9af4d	True
interpretation.md	1	holonomic_relations_research_grade/notes/interpretation.md	731	731	f1779de30bfd5ed0e41c182ee0d00ad1cf7d3c0c	True
interpretation.md	2	CIEL_FOUNDATIONS_SCAFFOLD_V2/CIEL_FOUNDATIONS/constants/Lambda0/interpretation.md	84	84	2982607ac170fcea7c8c11a1c59f95f62003f831	True
interpretation.md	3	CIEL_FOUNDATIONS_SCAFFOLD_V2/CIEL_FOUNDATIONS/constants/kappa/interpretation.md	82	82	4f05bfa51549ace2638b493df0f61a3927e5d205	True
interpretation.md	4	CIEL_FOUNDATIONS_SCAFFOLD_V2/CIEL_FOUNDATIONS/constants/tau/interpretation.md	80	80	a629c7655c1632ca89babd97d02f1b805a166fa4	True
interpretation.md	5	CIEL_FOUNDATIONS_SCAFFOLD_V2/CIEL_FOUNDATIONS/constants/I0/interpretation.md	79	79	953797ca5dd4a1df1b99f9bf7354b33d96dd8fb7	True
README.md	1	CIEL_OMEGA_COMPLETE_SYSTEM_WITH_README/CIEL_OMEGA_COMPLETE_SYSTEM/README.md	7470	7427	68853757515420cc03337614e9bbdfd2a4f5cc56	True
README.md	2	CIEL_OMEGA_COMPLETE_SYSTEM_WITH_README/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/vocabulary/README.md	6233	6049	d00ee2536ca8b80168d98f646da4db15bbdfba9a	True
README.md	3	CIEL_OMEGA_COMPLETE_SYSTEM_WITH_README/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/TODO/vocabulary/README.md	6233	6049	d00ee2536ca8b80168d98f646da4db15bbdfba9a	True
README.md	4	CIEL_OMEGA_COMPLETE_SYSTEM_WITH_README/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/README.md	4463	4314	c9882a01490151bf24f1705384190c67604c77e7	True
README.md	5	CIEL_FOUNDATIONS_SCAFFOLD_V2/CIEL_FOUNDATIONS/README.md	1603	1603	da1ba1b0079a5b244cee1fbdc3039dbb60a50f66	True
README.md	6	CIEL_OMEGA_COMPLETE_SYSTEM_WITH_README/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/TODO/experimental/README.md	536	536	3de2944ce82cbd607efdfaf09514150f02d1ac29	True
README.md	7	CIEL_OMEGA_COMPLETE_SYSTEM_WITH_README/CIEL_OMEGA_COMPLETE_SYSTEM/ciel_omega/ext/README.md	383	367	ac60d84a86ec6831760a3e21087efe98e4fbe628	True
README.md	8	CIEL_FOUNDATIONS_SCAFFOLD_V2/CIEL_FOUNDATIONS/LaTeX/README.md	361	361	9cb87b726c786b5a88686abd5044dec21c218f17	True
