step,r(t),"R(S,Ψ)",Σ̄,koherencja,ρ,AB resid,γ,Ω_cum,Ms
0,0.038443,1.0,0.5077,0.435342,0.981946,1.67804,1.2,0.01,0.373226
1,0.009823,1.0,0.515248,0.231677,0.981774,2.063766,1.2,0.02,0.391122
2,0.004825,1.0,0.522648,0.15185,0.981772,2.22983,1.2,0.03,0.407573
3,0.00422,1.0,0.529904,0.123021,0.981771,1.594715,1.2,0.04,0.422694
4,0.00109,1.0,0.53702,0.11976,0.981771,2.892065,1.2,0.05,0.436591
5,0.002396,1.0,0.543999,0.137265,0.981772,1.717212,1.2,0.06,0.449366
6,0.000311,1.0,0.550845,0.180348,0.981771,1.924962,1.2,0.07,0.461116
7,0.000759,1.0,0.557561,0.251827,0.981773,2.395365,1.2,0.08,0.471928
8,0.000314,1.0,0.56415,0.312246,0.981772,1.575392,1.2,0.09,0.48188
9,0.000157,1.0,0.570616,0.295788,0.981771,2.67567,1.2,0.1,0.491042
10,0.000369,1.0,0.576962,0.241717,0.981769,1.804014,1.1,0.11,0.499474
11,0.000749,1.0,0.58319,0.205863,0.981774,1.837598,1.1,0.12,0.507231
12,0.00165,1.0,0.589304,0.197273,0.981771,2.6134,1.1,0.13,0.514364
13,0.001479,1.0,0.595306,0.212078,0.981767,1.575373,1.1,0.14,0.520923
14,0.003927,1.0,0.601199,0.239415,0.981776,2.433224,1.1,0.15,0.526954
15,0.001931,1.0,0.606985,0.248979,0.981744,1.915599,1.1,0.16,0.532499
16,0.024464,1.0,0.612668,0.217173,0.981972,1.718644,1.1,0.17,0.537598
17,0.000492,1.0,0.618249,0.170853,0.981458,2.887816,1.1,0.18,0.542282
18,0.00389,1.0,0.62373,0.138816,0.981204,1.58938,1.1,0.19,0.546583
19,0.001331,1.0,0.629115,0.12645,0.982054,2.296211,1.1,0.2,0.550528
20,0.002912,1.0,0.634405,0.134459,0.981904,2.059058,1.1,0.21,0.554143
21,0.000402,1.0,0.639603,0.172096,0.981824,1.643466,1.1,0.22,0.557457
22,0.004893,1.0,0.644711,0.274951,0.981684,3.117115,1.1,0.23,0.560491
23,0.004007,1.0,0.64973,0.540328,0.983864,1.640597,1.1,0.24,0.563275
24,0.029289,1.0,0.654662,0.796777,1.001269,1.896357,1.1,0.25,0.565831
25,0.008944,1.0,0.65951,0.469195,0.981809,2.238983,1.1,0.26,0.568168
26,0.007447,1.0,0.664276,0.24448,0.981376,1.607133,1.1,0.27,0.570314
27,0.009859,1.0,0.668961,0.159638,0.981073,2.916606,1.1,0.28,0.572273
28,0.006021,1.0,0.673567,0.129268,0.982383,1.684582,1.1,0.29,0.574063
29,0.010278,1.0,0.678095,0.125444,0.98168,1.941012,1.1,0.3,0.57569
30,0.009974,1.0,0.682548,0.141676,0.981559,2.399813,1.1,0.31,0.577162
31,0.016923,1.0,0.686927,0.17861,0.9816,1.568259,1.1,0.32,0.578514
32,0.056932,1.0,0.691233,0.229998,0.981527,2.765042,1.1,0.33,0.579739
