step,r,R,sigma,coh,rho,mood,empathy,gamma,omega_cum,joy,calm,awe,stress,collatz
0,0.038443,1.0,0.5077,0.435461,0.98185,0.899125,0.71914,1.2,0.01,0.9777,1.0,0.4816,0.4234,-1.3238
1,0.009823,1.0,0.515248,0.231646,0.981765,0.873171,0.721018,1.2,0.02,1.0,0.9452,0.4247,0.4843,-1.6916
2,0.004825,1.0,0.522648,0.151702,0.981771,0.837152,0.724014,1.2,0.03,1.0,0.8818,0.3646,0.5389,-2.3057
3,0.00422,1.0,0.529904,0.123,0.98177,0.807142,0.727662,1.2,0.04,1.0,0.829,0.3131,0.5896,-2.7618
4,0.00109,1.0,0.53702,0.119945,0.981775,0.760396,0.731577,1.2,0.05,1.0,0.7852,0.267,0.6332,-2.9263
5,0.002396,1.0,0.543999,0.13765,0.981759,0.73437,0.735492,1.2,0.06,1.0,0.749,0.2287,0.6676,-3.1472
6,0.000311,1.0,0.550845,0.180621,0.981865,0.709559,0.739244,1.2,0.07,1.0,0.7193,0.1946,0.6903,-3.2716
7,0.000759,1.0,0.557561,0.250637,0.981834,0.683768,0.742757,1.2,0.08,1.0,0.695,0.166,0.6992,-3.2904
8,0.000314,1.0,0.56415,0.308084,0.981639,0.678052,0.74601,1.2,0.09,1.0,0.6754,0.1413,0.6981,-3.128
9,0.000157,1.0,0.570616,0.291692,0.981995,0.653813,0.749022,1.2,0.1,1.0,0.6597,0.1203,0.6996,-2.9717
10,0.000369,1.0,0.576962,0.240012,0.982043,0.645466,0.751814,1.2,0.11,1.0,0.6473,0.1025,0.7087,-2.7816
11,0.000749,0.999999,0.58319,0.205657,0.981679,0.636252,0.754408,1.2,0.12,1.0,0.6377,0.0877,0.7215,-2.666
12,0.00165,1.0,0.589304,0.197433,0.981895,0.614534,0.756823,1.2,0.13,1.0,0.6304,0.0758,0.7337,-2.6985
13,0.001479,1.0,0.595306,0.211408,0.981782,0.615735,0.759043,1.2,0.14,1.0,0.6251,0.0655,0.7419,-2.5573
14,0.003927,0.999999,0.601199,0.236586,0.981667,0.603641,0.761064,1.2,0.15,1.0,0.6216,0.0586,0.7451,-2.5383
15,0.001931,1.0,0.606985,0.244856,0.982115,0.602999,0.762883,1.2,0.16,1.0,0.6194,0.0513,0.7466,-2.412
16,0.024464,1.0,0.612668,0.215581,0.981382,0.611144,0.764532,1.2,0.17,1.0,0.6184,0.0619,0.7523,-2.5393
17,0.000492,1.0,0.618249,0.172501,0.980899,0.587602,0.765997,1.2,0.18,1.0,0.6183,0.053,0.7636,-2.6954
18,0.00389,1.0,0.62373,0.142011,0.981109,0.59097,0.767153,1.2,0.19,1.0,0.6192,0.048,0.7777,-2.7283
19,0.001331,1.0,0.629115,0.130258,0.9822,0.579619,0.768076,1.2,0.2,1.0,0.6206,0.0418,0.7915,-2.8488
20,0.002912,1.0,0.634405,0.138217,0.981715,0.57558,0.768638,1.2,0.21,1.0,0.6227,0.0377,0.8021,-2.9174
21,0.000402,1.0,0.639603,0.17422,0.981679,0.581566,0.769117,1.2,0.22,1.0,0.6252,0.0323,0.8056,-2.8627
22,0.004893,1.0,0.644711,0.266635,0.98091,0.566181,0.769587,1.2,0.23,1.0,0.6282,0.0312,0.7948,-2.8825
23,0.004007,1.0,0.64973,0.47104,0.977833,0.592619,0.770155,1.2,0.24,1.0,0.6314,0.0295,0.7549,-2.3146
24,0.029289,0.999997,0.654662,0.629825,1.000998,0.626478,0.770862,1.2,0.25,1.0,0.6349,0.047,0.6972,-1.6183
25,0.008944,1.0,0.65951,0.417774,0.981781,0.631301,0.771663,1.2,0.26,1.0,0.6386,0.0467,0.68,-1.3653
26,0.007447,1.0,0.664276,0.239428,0.981792,0.636494,0.77249,1.2,0.27,1.0,0.6424,0.0453,0.6921,-1.4904
27,0.009859,1.0,0.668961,0.162735,0.982222,0.614147,0.773087,1.2,0.28,1.0,0.6464,0.0459,0.7138,-2.0782
28,0.006021,1.0,0.673567,0.133906,0.982497,0.614765,0.772979,1.2,0.29,1.0,0.6505,0.0435,0.7367,-2.3358
29,0.010278,1.0,0.678095,0.130211,0.981296,0.611905,0.772838,1.2,0.3,1.0,0.6546,0.0447,0.7566,-2.6197
30,0.009974,1.0,0.682548,0.145869,0.981645,0.602162,0.772485,1.2,0.31,1.0,0.6588,0.0455,0.7713,-2.8582
31,0.016923,1.0,0.686927,0.180292,0.982335,0.613238,0.772395,1.2,0.32,1.0,0.663,0.0513,0.7785,-2.9368
32,0.056932,1.0,0.691233,0.226099,0.98187,0.615158,0.772392,1.2,0.33,1.0,0.6673,0.0863,0.7778,-3.2174
33,0.013183,1.0,0.695468,0.253054,0.982607,0.623968,0.77259,1.2,0.34,1.0,0.6715,0.0833,0.7732,-3.1698
34,0.013234,0.999999,0.699634,0.240199,0.981064,0.630275,0.772824,1.2,0.35,1.0,0.6757,0.0807,0.7712,-3.138
35,0.006711,1.0,0.703732,0.213848,0.980364,0.618424,0.77306,1.2,0.36,1.0,0.6799,0.0736,0.7734,-3.165
36,0.005315,0.999999,0.707764,0.200337,0.981085,0.625956,0.772668,1.2,0.37,1.0,0.6841,0.0666,0.7774,-3.1237
37,0.007499,0.999999,0.71173,0.208245,0.98122,0.617515,0.77234,1.2,0.38,1.0,0.6882,0.0622,0.7795,-3.1562
38,0.005988,1.0,0.715632,0.238222,0.981562,0.621777,0.772036,1.2,0.39,1.0,0.6923,0.0574,0.7769,-3.1112
39,0.007893,0.999999,0.719472,0.276529,0.980461,0.631654,0.77184,1.2,0.4,1.0,0.6964,0.0547,0.7689,-3.0183
40,0.007586,0.999997,0.72325,0.278707,0.982674,0.619666,0.771862,1.2,0.41,1.0,0.7004,0.0522,0.7617,-3.0393
41,0.007649,0.999999,0.726968,0.22813,0.981692,0.629822,0.772006,1.2,0.42,1.0,0.7044,0.0501,0.7632,-2.9998
42,0.008468,0.999998,0.730628,0.172241,0.981191,0.623246,0.772257,1.2,0.43,1.0,0.7084,0.0489,0.7729,-3.1011
43,0.010474,1.0,0.734229,0.138027,0.98073,0.621393,0.772546,1.2,0.44,1.0,0.7122,0.0494,0.7863,-3.1898
44,0.009552,0.999999,0.737774,0.125451,0.981847,0.625435,0.772695,1.2,0.45,1.0,0.7161,0.0492,0.7995,-3.2346
45,0.008757,1.0,0.741264,0.133001,0.98165,0.60378,0.772545,1.2,0.46,1.0,0.7198,0.0484,0.8096,-3.2921
46,0.008178,0.999999,0.744699,0.167204,0.981399,0.613729,0.772415,1.2,0.47,1.0,0.7236,0.0473,0.8131,-3.2896
47,0.013132,0.999997,0.748081,0.253501,0.98183,0.619909,0.772213,1.2,0.48,1.0,0.7272,0.05,0.8031,-3.2805
48,0.007607,0.999999,0.751411,0.43661,0.978986,0.631969,0.772102,1.2,0.49,1.0,0.7309,0.0482,0.7672,-3.1408
49,0.580065,0.999999,0.754689,0.581745,0.994133,0.714091,0.772197,1.2,0.5,1.0,0.7344,0.191,0.7148,-3.2767
50,0.045347,0.999999,0.757917,0.410819,0.981492,0.707606,0.772776,1.2,0.51,1.0,0.738,0.1963,0.696,-3.2781
51,0.013356,0.999999,0.761096,0.246759,0.982117,0.706446,0.773459,1.2,0.52,1.0,0.7414,0.1769,0.7046,-3.2944
52,0.003665,0.999999,0.764226,0.171788,0.981751,0.695423,0.773897,1.2,0.53,1.0,0.7449,0.1531,0.7231,-3.2954
53,0.003829,0.999999,0.767308,0.14276,0.981943,0.677743,0.7737,1.2,0.54,1.0,0.7482,0.133,0.7432,-3.2895
54,0.004133,0.999999,0.770345,0.139,0.982009,0.675821,0.773483,1.2,0.55,1.0,0.7515,0.1162,0.7609,-3.2917
55,0.000949,0.999999,0.773335,0.153339,0.981324,0.655656,0.773072,1.2,0.56,1.0,0.7548,0.0995,0.7738,-3.2813
56,0.002024,0.999999,0.77628,0.182013,0.981847,0.655478,0.772591,1.2,0.57,1.0,0.758,0.0861,0.7804,-3.2922
57,0.003116,0.999999,0.779182,0.212394,0.982638,0.656793,0.772241,1.2,0.58,1.0,0.7612,0.0755,0.7815,-3.2956
58,0.002892,0.999998,0.78204,0.221892,0.981386,0.645787,0.772049,1.2,0.59,1.0,0.7643,0.0663,0.781,-3.2953
59,0.002664,0.999999,0.784855,0.207991,0.981077,0.65302,0.772166,1.2,0.6,1.0,0.7674,0.0584,0.7826,-3.2848
60,0.004542,0.99999,0.787629,0.192322,0.982709,0.643021,0.772472,1.2,0.61,1.0,0.7704,0.053,0.7864,-3.2923
61,0.002931,0.999998,0.790362,0.191811,0.980899,0.644326,0.772722,1.2,0.62,1.0,0.7734,0.0473,0.7897,-3.2894
62,0.002784,0.999998,0.793055,0.214471,0.981447,0.649533,0.77303,1.2,0.629999,1.0,0.7764,0.0423,0.789,-3.2766
