step,R,r,sigma,H_gas,mnemonic_drift,coh,mood,empathy,omega_cum,joy,calm,awe,stress,gamma,rho
0,1.0,0.038383,0.5077,3.4657,0.141591,0.435392,0.9006,0.71916,0.01,0.9777,1.0,0.4815,0.4234,1.2,0.98177
1,1.0,0.009821,0.515248,3.4656,0.141587,0.231692,0.8789,0.72106,0.02,1.0,0.9452,0.4246,0.4843,1.2,0.98177
2,1.0,0.004822,0.522648,3.4656,0.141587,0.151754,0.8497,0.72408,0.03,1.0,0.8818,0.3646,0.5389,1.2,0.98177
3,1.0,0.004066,0.529904,3.4656,0.141586,0.123033,0.8196,0.72772,0.04,1.0,0.829,0.3129,0.5896,1.2,0.98177
4,1.0,0.000944,0.53702,3.4655,0.141585,0.119959,0.7901,0.73162,0.05,1.0,0.7852,0.2667,0.6332,1.2,0.98177
5,1.0,0.002345,0.543999,3.4655,0.141582,0.137626,0.7637,0.73551,0.06,1.0,0.749,0.2285,0.6676,1.2,0.98175
6,1.0,0.000274,0.550845,3.4654,0.141579,0.180512,0.7414,0.73922,0.07,1.0,0.7193,0.1944,0.6903,1.2,0.98189
7,1.0,0.000857,0.557561,3.4654,0.141579,0.250366,0.7251,0.74269,0.08,1.0,0.695,0.1659,0.6992,1.2,0.9817
8,1.0,0.000177,0.56415,3.4652,0.141569,0.307668,0.7138,0.74589,0.09,1.0,0.6754,0.1411,0.6982,1.2,0.98197
9,1.0,0.000475,0.570616,3.4649,0.14156,0.291342,0.7036,0.74884,0.1,1.0,0.6597,0.1203,0.6998,1.2,0.98158
10,1.0,0.000513,0.576962,3.465,0.141564,0.239825,0.6924,0.75158,0.11,1.0,0.6473,0.1027,0.7088,1.2,0.98222
11,1.0,0.001036,0.58319,3.4645,0.141544,0.205595,0.6814,0.75414,0.12,1.0,0.6377,0.088,0.7217,1.2,0.98173
12,1.0,0.001464,0.589304,3.4646,0.141547,0.197531,0.6719,0.75652,0.13,1.0,0.6304,0.0759,0.7338,1.2,0.98167
13,1.0,0.000968,0.595306,3.4646,0.141544,0.211681,0.6647,0.75874,0.14,1.0,0.6251,0.0653,0.742,1.2,0.98192
14,0.999997,0.004255,0.601199,3.4646,0.141544,0.236987,0.6611,0.76079,0.15,1.0,0.6216,0.0587,0.7451,1.2,0.98183
15,1.0,0.002311,0.606985,3.4649,0.141557,0.245107,0.6582,0.76268,0.16,1.0,0.6194,0.0516,0.7466,1.0,0.98236
16,1.0,0.02513,0.612668,3.4649,0.141558,0.215552,0.6606,0.76441,0.17,1.0,0.6184,0.0627,0.7523,1.0,0.9816
17,1.0,0.000799,0.618249,3.4646,0.141547,0.172426,0.654,0.76602,0.18,1.0,0.6183,0.0539,0.7636,1.0,0.98203
18,1.0,0.004061,0.62373,3.4651,0.141568,0.142095,0.6479,0.76727,0.19,1.0,0.6192,0.0489,0.7777,1.0,0.98172
19,1.0,0.000944,0.629115,3.4625,0.141459,0.130397,0.6416,0.76825,0.2,1.0,0.6206,0.0422,0.7915,1.0,0.98198
20,1.0,0.002467,0.634405,3.4631,0.141484,0.138342,0.6372,0.76879,0.21,1.0,0.6227,0.0378,0.802,1.0,0.98173
21,0.999999,0.000682,0.639603,3.4633,0.141492,0.174264,0.6353,0.7693,0.22,1.0,0.6252,0.0326,0.8056,1.0,0.98153
